,名称,X,Y,Z,C,用户坐标,手系,J1 Flag,J2 Flag
P0000,HOME,400,0,0,0,0,右手系,0,0
P0001,hr,54.389,-218.374,0,-229.604,0,右手系,0,0
P0002,hl,-85.901,-194.359,0,-221.358,0,左手系,0,0
P0003,tr,-144.865,-207.151,-79.686,73.725,0,右手系,0,0
P0004,a,-249.081,-188.649,-227.131,70.441,0,右手系,1,0
P0005,b,-150.074,-242.174,-226.808,77.717,0,右手系,0,0
P0006,c,-21.814,-278.823,-228.865,88.613,0,右手系,0,0
P0007,cr,257.336,-98.744,-70.778,-41.104,0,右手系,0,0
P0008,a,230.656,-172.078,-66.961,-47.865,0,右手系,0,0
P0009,b,317.309,-99.716,-67.388,-34.957,0,右手系,0,0
P0010,br,-125.847,-118.989,-40.016,-146.292,0,左手系,0,0
P0011,1,-286.109,-133.731,-233.56,-161.042,0,左手系,0,0
P0012,2,-285.38,-31.951,-237.773,-167.584,0,左手系,0,0
P0013,3,-266.122,88.905,-237.873,-177.505,0,左手系,0,0
P0014,4,-287.521,-134.425,-32.494,-161.626,0,左手系,0,0
P0015,5,-287.474,-33.205,-26.395,-168.699,0,左手系,0,0
P0016,6,-268.429,83.801,-33.012,-178.977,0,左手系,0,0
P0017,r2,-215.637,-54.555,-28.081,-241.155,0,左手系,0,0
P0018,2,-196.556,105.81,-86.794,-262.426,0,左手系,0,0
P0019,r3,-287.538,6.724,-3.007,-116.382,0,右手系,0,0
P0020,3,-364.422,-86.291,-87.739,-102.294,0,右手系,0,0
P0021,r4,197.128,-210.299,-1.547,-239.991,0,右手系,0,0
P0022,4,285.245,-155.541,-93.238,-202.494,0,右手系,0,0
P0023,r5,110.048,-170.664,-3.574,-94.292,0,右手系,0,0
P0024,5,238.519,-193.32,-91.881,-48.472,0,右手系,0,0
P0025,r6,13.791,-214.863,-0.52,-70.529,0,右手系,0,0
P0026,6,87.668,-347.162,-172.716,-59.513,0,右手系,0,0
P0027,r7,61.644,-281.455,-97.044,-63.884,0,右手系,0,0
P0028,7,78.055,-339.481,-38.911,-60.858,0,右手系,0,0
P0029,r8,18.508,-292.378,-34.962,-129.987,0,左手系,0,0
P0030,8,-100.513,-312.78,-118.847,-143.447,0,左手系,0,0
P0031,qr,33.547,-271.817,-62.485,-67.731,0,右手系,0,0
P0032,qa,185.662,-331.911,-100.243,-40.583,0,右手系,0,0
P0033,qb,20.99,-369.479,-102.737,-71.659,0,右手系,0,0
P0034*,,,,,,,,,
P0035*,,,,,,,,,
P0036*,,,,,,,,,
P0037*,,,,,,,,,
P0038*,,,,,,,,,
P0039*,,,,,,,,,
P0040*,,,,,,,,,
P0041*,,,,,,,,,
P0042*,,,,,,,,,
P0043*,,,,,,,,,
P0044*,,,,,,,,,
P0045*,,,,,,,,,
P0046*,,,,,,,,,
P0047*,,,,,,,,,
P0048*,,,,,,,,,
P0049*,,,,,,,,,
P0050*,,,,,,,,,
P0051*,,,,,,,,,
P0052*,,,,,,,,,
P0053*,,,,,,,,,
P0054*,,,,,,,,,
P0055*,,,,,,,,,
P0056*,,,,,,,,,
P0057*,,,,,,,,,
P0058*,,,,,,,,,
P0059*,,,,,,,,,
P0060*,,,,,,,,,
P0061*,,,,,,,,,
P0062*,,,,,,,,,
P0063*,,,,,,,,,
P0064*,,,,,,,,,
P0065*,,,,,,,,,
P0066*,,,,,,,,,
P0067*,,,,,,,,,
P0068*,,,,,,,,,
P0069*,,,,,,,,,
P0070*,,,,,,,,,
P0071*,,,,,,,,,
P0072*,,,,,,,,,
P0073*,,,,,,,,,
P0074*,,,,,,,,,
P0075*,,,,,,,,,
P0076*,,,,,,,,,
P0077*,,,,,,,,,
P0078*,,,,,,,,,
P0079*,,,,,,,,,
P0080*,,,,,,,,,
P0081*,,,,,,,,,
P0082*,,,,,,,,,
P0083*,,,,,,,,,
P0084*,,,,,,,,,
P0085*,,,,,,,,,
P0086*,,,,,,,,,
P0087*,,,,,,,,,
P0088*,,,,,,,,,
P0089*,,,,,,,,,
P0090*,,,,,,,,,
P0091*,,,,,,,,,
P0092*,,,,,,,,,
P0093*,,,,,,,,,
P0094*,,,,,,,,,
P0095*,,,,,,,,,
P0096*,,,,,,,,,
P0097*,,,,,,,,,
P0098*,,,,,,,,,
P0099*,,,,,,,,,
P0100*,,,,,,,,,
P0101*,,,,,,,,,
P0102*,,,,,,,,,
P0103*,,,,,,,,,
P0104*,,,,,,,,,
P0105*,,,,,,,,,
P0106*,,,,,,,,,
P0107*,,,,,,,,,
P0108*,,,,,,,,,
P0109*,,,,,,,,,
P0110*,,,,,,,,,
P0111*,,,,,,,,,
P0112*,,,,,,,,,
P0113*,,,,,,,,,
P0114*,,,,,,,,,
P0115*,,,,,,,,,
P0116*,,,,,,,,,
P0117*,,,,,,,,,
P0118*,,,,,,,,,
P0119*,,,,,,,,,
P0120*,,,,,,,,,
P0121*,,,,,,,,,
P0122*,,,,,,,,,
P0123*,,,,,,,,,
P0124*,,,,,,,,,
P0125*,,,,,,,,,
P0126*,,,,,,,,,
